age,date_account_created,date_first_booking,gender,Language_EN,Language_ZH,Country_US,Country_EUR,android,moweb,web,ios,Married,Children
35,3/1/2010,3/3/2010,F,1,0,1,0,1,0,1,0,0,3
31,3/1/2010,3/3/2010,M,1,0,0,1,0,1,1,0,1,1
18,3/2/2010,3/5/2010,U,1,0,1,0,1,0,1,0,0,0
35,3/3/2010,3/3/2010,M,1,0,1,0,1,0,1,0,1,1
36,3/3/2010,3/6/2010,M,1,0,1,0,1,0,1,0,1,3
37,3/4/2010,3/5/2010,F,1,0,1,0,1,0,1,0,1,1
42,3/5/2010,3/8/2010,U,1,0,1,0,1,0,1,0,1,1
5,3/6/2010,3/8/2010,F,1,0,0,1,1,0,1,0,0,0
18,3/7/2010,3/12/2010,U,1,0,1,0,1,0,1,0,0,0
33,3/8/2010,3/22/2010,U,1,0,0,1,1,0,1,0,0,1
33,3/8/2010,3/8/2010,M,1,0,1,0,1,0,1,0,1,1
44,3/16/2010,4/6/2010,F,1,0,1,0,1,0,1,0,1,3
35,3/10/2010,3/10/2010,F,1,0,1,0,1,0,1,0,1,1
47,3/10/2010,3/22/2010,U,1,0,1,0,1,0,1,0,0,1
40,3/10/2010,3/10/2010,U,1,0,1,0,1,0,1,0,1,2
39,3/11/2010,3/14/2010,F,1,0,1,0,1,0,1,0,1,1
45,3/11/2010,3/11/2010,F,1,0,1,0,1,0,1,0,0,2
25,3/11/2010,3/13/2010,M,1,0,0,1,1,0,1,0,1,2
57,3/12/2010,3/12/2010,F,1,0,1,0,1,0,1,0,1,1
43,3/13/2010,3/19/2010,U,1,0,1,0,1,0,1,0,1,2
60,3/13/2010,3/14/2010,M,1,0,1,0,0,1,1,0,1,1
29,3/13/2010,3/15/2010,F,1,0,1,0,1,0,1,0,1,1
32,3/14/2010,3/29/2010,F,1,0,1,0,1,0,1,0,1,1
43,3/14/2010,3/15/2010,M,1,0,1,0,0,1,1,0,1,1
30,3/15/2010,3/16/2010,F,1,0,1,0,1,0,1,0,1,1
29,3/15/2010,3/15/2010,F,1,0,1,0,1,0,1,0,0,1
42,3/15/2010,4/20/2010,F,1,0,1,0,1,0,1,0,1,1
34,3/15/2010,4/12/2010,U,1,0,1,0,1,0,1,0,1,1
19,3/15/2010,3/16/2010,U,1,0,1,0,1,0,1,0,0,0
32,3/16/2010,3/19/2010,U,1,0,1,0,1,0,1,0,1,3
32,3/16/2010,3/16/2010,U,1,0,1,0,1,0,1,0,1,3
30,3/16/2010,3/17/2010,F,1,0,1,0,0,1,1,0,1,1
44,3/16/2010,3/29/2010,M,1,0,1,0,1,0,1,0,1,1
48,3/18/2010,3/19/2010,M,1,0,1,0,1,0,1,0,1,1
32,3/18/2010,3/20/2010,M,1,0,1,0,0,1,1,0,1,1
51,3/19/2010,3/19/2010,M,1,0,1,0,1,0,1,0,1,3
45,3/19/2010,3/25/2010,M,1,0,1,0,1,0,1,0,0,1
52,3/19/2010,3/21/2010,U,1,0,1,0,1,0,1,0,1,1
47,3/19/2010,4/10/2010,U,1,0,1,0,1,0,1,0,0,1
38,3/20/2010,3/23/2010,U,1,0,0,1,1,0,1,0,1,1
36,3/20/2010,3/6/2011,M,1,0,1,0,1,0,1,0,1,2
57,3/22/2010,3/22/2010,F,1,0,1,0,1,0,1,0,1,1
31,3/23/2010,4/9/2010,F,1,0,0,0,1,0,1,0,0,1
39,3/23/2010,3/24/2010,M,1,0,1,0,1,0,1,0,0,3
61,3/23/2010,3/24/2010,F,1,0,1,0,0,1,1,0,0,2
64,3/24/2010,3/25/2010,M,1,0,1,0,1,0,1,0,1,1
35,3/24/2010,3/24/2010,M,1,0,1,0,0,1,1,0,1,2
39,3/25/2010,3/26/2010,U,1,0,1,0,1,0,1,0,1,1
70,3/25/2010,4/17/2010,M,1,0,1,0,0,1,1,0,1,1
28,3/26/2010,4/2/2010,F,1,0,1,0,1,0,1,0,1,2
52,3/27/2010,8/13/2010,M,1,0,1,0,1,0,1,0,1,2
29,3/27/2010,3/27/2010,U,1,0,1,0,1,0,1,0,1,2
70,3/28/2010,3/28/2010,M,1,0,1,0,0,1,1,0,1,2
67,3/29/2010,3/29/2010,F,1,0,1,0,1,0,1,0,1,1
46,3/29/2010,3/29/2010,M,1,0,1,0,1,0,1,0,1,3
38,3/29/2010,3/30/2010,U,1,0,1,0,1,0,1,0,1,1
55,3/30/2010,3/31/2010,F,1,0,1,0,1,0,1,0,0,1
30,3/30/2010,3/31/2010,F,1,0,1,0,1,0,1,0,1,1
37,3/31/2010,4/2/2010,U,1,0,1,0,1,0,1,0,1,2
52,4/1/2010,4/1/2010,M,1,0,1,0,1,0,1,0,1,1
31,4/2/2010,6/21/2010,U,1,0,0,1,1,0,1,0,1,1
31,4/2/2010,4/4/2010,F,1,0,1,0,1,0,1,0,1,1
41,4/3/2010,4/5/2010,F,1,0,1,0,1,0,1,0,1,1
29,4/3/2010,4/3/2010,M,1,0,1,0,1,0,1,0,0,2
34,4/4/2010,4/6/2010,F,1,0,1,0,1,0,1,0,1,3
54,4/4/2010,4/5/2010,F,1,0,1,0,1,0,1,0,1,3
65,4/5/2010,4/5/2010,F,1,0,1,0,1,0,1,0,1,2
31,4/5/2010,4/5/2010,U,1,0,0,1,1,0,1,0,1,2
38,12/23/2010,4/6/2010,M,1,0,1,0,1,0,1,0,0,3
65,4/5/2010,5/5/2010,F,1,0,1,0,1,0,1,0,1,1
44,4/5/2010,4/17/2010,F,1,0,1,0,1,0,1,0,1,3
44,3/28/2011,4/15/2010,F,1,0,1,0,1,0,1,0,1,1
37,4/6/2010,4/9/2010,M,1,0,1,0,0,1,1,0,0,1
73,4/6/2010,4/8/2010,F,1,0,1,0,1,0,1,0,0,3
38,4/9/2010,4/10/2010,U,1,0,1,0,1,0,1,0,0,1
29,4/9/2010,4/13/2010,F,1,0,1,0,1,0,1,0,1,1
36,4/10/2010,4/10/2010,M,1,0,1,0,1,0,1,0,0,2
30,4/10/2010,4/11/2010,U,1,0,1,0,0,1,1,0,1,3
2014,4/11/2010,4/13/2010,U,1,0,0,1,1,0,1,0,1,2
36,4/12/2010,4/13/2010,F,1,0,0,1,0,1,1,0,0,1
32,4/12/2010,4/12/2010,F,1,0,1,0,1,0,1,0,1,2
36,4/12/2010,4/12/2010,F,1,0,1,0,0,1,1,0,1,1
104,4/12/2010,4/12/2010,F,1,0,0,1,0,1,1,0,1,2
33,4/13/2010,4/23/2010,F,1,0,1,0,0,1,1,0,0,3
54,4/13/2010,5/7/2010,M,1,0,0,0,0,1,1,0,1,1
31,4/13/2010,2/10/2011,M,1,0,1,0,1,0,1,0,0,2
37,4/14/2010,4/15/2010,F,1,0,1,0,1,0,1,0,1,2
31,11/16/2010,5/4/2011,F,1,0,1,0,1,0,1,0,1,1
28,4/14/2010,4/15/2010,U,1,0,1,0,1,0,1,0,1,3
42,4/15/2010,4/15/2010,F,1,0,1,0,1,0,1,0,1,1
34,4/15/2010,4/15/2010,U,1,0,1,0,1,0,1,0,1,3
50,4/17/2010,4/23/2010,U,1,0,1,0,1,0,1,0,1,1
73,4/17/2010,4/17/2010,U,1,0,1,0,1,0,1,0,1,2
37,4/17/2010,4/18/2010,F,1,0,1,0,1,0,1,0,1,1
46,4/18/2010,5/10/2010,F,1,0,1,0,0,1,1,0,1,2
39,4/19/2010,10/11/2010,U,1,0,1,0,1,0,1,0,1,1
28,4/20/2010,4/20/2010,F,1,0,1,0,1,0,1,0,1,1
35,4/21/2010,4/22/2010,F,1,0,1,0,0,1,1,0,1,3
19,4/22/2010,4/22/2010,F,1,0,1,0,0,1,1,0,0,0
38,4/23/2010,6/12/2010,F,1,0,1,0,1,0,1,0,1,3
65,4/23/2010,10/5/2010,U,1,0,1,0,1,0,1,0,1,2
32,4/24/2010,4/24/2010,U,1,0,1,0,1,0,1,0,1,1
31,4/25/2010,4/28/2010,F,1,0,1,0,1,0,1,0,1,1
42,4/26/2010,4/27/2010,U,1,0,1,0,1,0,1,0,1,1
43,4/26/2010,4/27/2010,M,1,0,0,1,0,1,1,0,1,1
33,4/26/2010,4/26/2010,F,1,0,1,0,1,0,1,0,0,1
31,4/27/2010,6/1/2010,M,1,0,0,1,1,0,1,0,1,1
36,4/28/2010,4/29/2010,F,1,0,1,0,1,0,1,0,1,1
41,4/28/2010,5/5/2010,F,1,0,1,0,1,0,1,0,1,3
35,4/29/2010,4/30/2010,M,1,0,1,0,1,0,1,0,1,3
5,4/29/2010,4/29/2010,F,1,0,0,1,0,1,1,0,0,0
30,4/29/2010,7/19/2010,M,1,0,0,1,0,1,1,0,1,1
35,4/29/2010,5/2/2010,M,1,0,1,0,1,0,1,0,1,1
30,4/30/2010,5/1/2010,M,1,0,1,0,1,0,1,0,1,1
35,4/30/2010,5/1/2010,F,1,0,1,0,0,1,1,0,1,1
55,4/30/2010,10/5/2010,M,1,0,1,0,1,0,1,0,1,1
33,4/30/2010,5/8/2010,M,1,0,0,1,1,0,1,0,1,2
38,5/1/2010,5/1/2010,M,1,0,0,1,0,1,1,0,1,1
36,5/1/2010,5/4/2010,F,1,0,0,1,1,0,1,0,0,2
33,5/2/2010,5/2/2010,M,1,0,1,0,1,0,1,0,0,1
33,5/2/2010,5/2/2010,F,1,0,1,0,0,1,1,0,1,3
66,5/2/2010,5/7/2010,M,1,0,0,1,1,0,1,0,1,2
42,5/2/2010,5/8/2010,M,1,0,1,0,1,0,1,0,1,3
43,5/3/2010,5/11/2010,U,1,0,1,0,1,0,1,0,1,1
37,5/3/2010,5/4/2010,U,1,0,0,1,0,1,1,0,1,2
37,5/4/2010,5/27/2010,F,1,0,1,0,1,0,1,0,1,1
43,5/4/2010,5/4/2010,M,1,0,1,0,0,1,1,0,0,3
41,5/4/2010,5/8/2010,F,1,0,1,0,1,0,1,0,1,3
57,5/5/2010,5/12/2010,U,1,0,1,0,1,0,1,0,1,1
51,5/5/2010,6/18/2010,F,1,0,1,0,1,0,1,0,1,1
32,5/5/2010,4/25/2011,M,1,0,1,0,1,0,1,0,1,1
34,5/5/2010,5/6/2010,F,1,0,1,0,1,0,1,0,0,1
69,5/6/2010,5/14/2010,U,1,0,1,0,0,1,1,0,1,2
29,5/6/2010,5/20/2010,U,1,0,1,0,1,0,1,0,0,1
31,5/7/2010,5/8/2010,U,1,0,1,0,1,0,1,0,0,2
69,5/7/2010,5/11/2010,U,1,0,1,0,1,0,1,0,0,2
43,5/8/2010,6/8/2010,U,1,0,1,0,1,0,1,0,1,1
51,5/8/2010,6/26/2010,U,1,0,0,1,1,0,1,0,1,2
54,5/8/2010,5/11/2010,U,1,0,0,0,1,0,1,0,1,1
42,5/10/2010,5/11/2010,F,1,0,1,0,1,0,1,0,1,3
30,5/11/2010,5/11/2010,M,1,0,1,0,0,1,1,0,0,1
45,5/11/2010,5/11/2010,M,1,0,1,0,0,1,1,0,1,2
28,5/11/2010,5/14/2010,U,1,0,1,0,1,0,1,0,1,2
35,5/12/2010,6/17/2010,M,1,0,1,0,0,1,1,0,0,1
36,5/12/2010,5/19/2010,U,1,0,1,0,0,1,1,0,1,3
39,5/12/2010,5/13/2010,F,1,0,0,1,1,0,1,0,0,1
33,5/13/2010,5/18/2010,M,1,0,0,1,0,1,1,0,1,1
36,5/13/2010,5/15/2010,U,1,0,1,0,1,0,1,0,1,1
35,5/14/2010,5/16/2010,F,1,0,1,0,1,0,1,0,1,1
34,5/20/2010,5/16/2010,F,1,0,1,0,1,0,1,0,0,3
41,5/14/2010,5/15/2010,U,1,0,0,1,1,0,1,0,1,3
36,5/15/2010,5/19/2010,F,1,0,1,0,0,1,1,0,1,1
51,5/15/2010,5/15/2010,M,1,0,1,0,0,1,1,0,1,2
33,5/15/2010,5/17/2010,U,0,0,1,0,1,0,1,0,1,1
46,5/16/2010,6/5/2010,M,1,0,0,0,1,0,1,0,1,3
37,5/17/2010,5/21/2010,M,1,0,0,1,0,1,1,0,1,2
35,5/18/2010,5/22/2010,F,1,0,1,0,1,0,1,0,1,3
35,5/18/2010,5/19/2010,M,1,0,1,0,0,1,1,0,1,1
105,5/19/2010,6/16/2010,U,1,0,0,1,1,0,1,0,1,1
57,5/19/2010,5/21/2010,F,1,0,1,0,1,0,1,0,1,3
68,5/19/2010,5/19/2010,M,1,0,0,0,1,0,1,0,0,3
35,5/19/2010,5/20/2010,F,1,0,0,1,1,0,1,0,1,3
28,5/19/2010,5/26/2010,M,1,0,1,0,0,1,1,0,1,1
35,5/19/2010,8/4/2010,M,1,0,1,0,1,0,1,0,1,3
29,5/19/2010,5/21/2010,F,1,0,1,0,1,0,1,0,1,1
33,5/20/2010,7/5/2010,M,1,0,1,0,1,0,1,0,1,1
25,5/20/2010,5/20/2010,F,1,0,1,0,0,1,1,0,0,1
27,5/21/2010,5/21/2010,F,1,0,1,0,1,0,1,0,1,1
31,5/21/2010,2/7/2011,M,1,0,1,0,1,0,1,0,1,1
29,5/22/2010,5/24/2010,M,1,0,0,1,1,0,1,0,1,2
29,5/22/2010,5/26/2010,U,1,0,1,0,1,0,1,0,1,1
34,5/22/2010,5/23/2010,U,1,0,1,0,1,0,1,0,1,1
26,5/23/2010,5/23/2010,U,1,0,0,1,1,0,1,0,1,2
33,5/23/2010,11/12/2010,U,1,0,0,0,1,0,1,0,1,3
49,5/24/2010,5/24/2010,F,1,0,1,0,1,0,1,0,1,3
33,5/24/2010,5/24/2010,F,1,0,0,1,1,0,1,0,0,1
51,5/24/2010,5/27/2010,F,1,0,1,0,1,0,1,0,1,3
31,5/24/2010,6/12/2010,F,1,0,1,0,0,1,1,0,1,1
35,5/25/2010,7/7/2010,F,1,0,1,0,1,0,1,0,0,1
29,5/25/2010,5/26/2010,M,1,0,1,0,1,0,1,0,0,1
47,5/25/2010,5/25/2010,F,1,0,0,1,1,0,1,0,0,3
38,5/25/2010,5/26/2010,M,1,0,0,1,1,0,1,0,0,3
29,5/25/2010,5/26/2010,F,1,0,1,0,1,0,1,0,1,1
38,5/26/2010,6/1/2010,F,1,0,1,0,1,0,1,0,0,1
45,5/27/2010,5/31/2010,M,1,0,1,0,1,0,1,0,1,1
36,5/27/2010,5/27/2010,U,1,0,1,0,1,0,1,0,1,1
35,5/27/2010,6/23/2010,U,1,0,1,0,1,0,1,0,1,1
38,5/27/2010,5/27/2010,F,1,0,1,0,1,0,1,0,1,1
64,5/27/2010,6/8/2010,U,1,0,0,1,0,1,1,0,1,1
28,5/27/2010,5/27/2010,U,1,0,1,0,1,0,1,0,0,1
32,5/27/2010,5/27/2010,F,1,0,1,0,0,1,1,0,1,1
32,5/27/2010,5/29/2010,F,1,0,0,1,0,1,1,0,0,1
50,5/28/2010,5/28/2010,U,1,0,1,0,1,0,1,0,1,1
45,5/28/2010,5/28/2010,F,1,0,1,0,0,1,1,0,1,2
35,5/30/2010,6/2/2010,M,1,0,1,0,0,1,1,0,1,1
68,5/31/2010,5/31/2010,U,1,0,1,0,1,0,1,0,1,1
38,5/31/2010,6/5/2010,U,1,0,1,0,0,1,1,0,1,3
38,6/1/2010,6/12/2010,F,1,0,1,0,1,0,1,0,0,2
53,6/2/2010,5/30/2011,M,1,0,1,0,0,1,1,0,1,3
48,6/2/2010,6/3/2010,F,1,0,0,0,1,0,1,0,1,3
26,6/2/2010,6/5/2010,U,1,0,1,0,1,0,1,0,0,1
39,6/3/2010,6/3/2010,M,1,0,0,1,1,0,1,0,1,1
30,6/3/2010,6/6/2010,M,1,0,1,0,1,0,1,0,0,1
18,6/3/2010,6/8/2010,F,1,0,1,0,0,1,1,0,0,0
52,6/3/2010,6/4/2010,U,1,0,1,0,1,0,1,0,1,1
35,6/3/2010,6/3/2010,U,1,0,1,0,0,1,1,0,0,3
19,6/3/2010,6/4/2010,U,1,0,0,0,1,0,1,0,0,0
31,6/4/2010,7/24/2010,M,1,0,1,0,1,0,1,0,1,1
35,6/4/2010,6/4/2010,U,1,0,1,0,0,1,1,0,1,3
45,6/4/2010,6/5/2010,U,1,0,1,0,0,1,1,0,1,1
33,6/5/2010,7/29/2010,F,1,0,1,0,1,0,1,0,1,3
32,6/5/2010,6/12/2010,M,1,0,0,0,1,0,1,0,0,1
46,6/5/2010,6/7/2010,U,1,0,1,0,0,1,1,0,1,1
58,6/6/2010,6/7/2010,U,1,0,1,0,1,0,1,0,1,1
51,6/7/2010,6/11/2010,F,1,0,1,0,0,1,1,0,0,3
34,6/7/2010,5/17/2011,F,1,0,1,0,0,1,1,0,1,3
31,6/7/2010,6/7/2011,U,1,0,1,0,1,0,1,0,0,3
19,6/9/2010,6/8/2011,U,1,0,0,0,1,0,1,0,0,0
30,6/9/2010,6/12/2010,M,1,0,1,0,0,1,1,0,1,1
29,6/10/2010,6/14/2010,U,1,0,1,0,1,0,1,0,0,3
45,6/10/2010,10/4/2010,F,1,0,1,0,1,0,1,0,1,1
37,6/10/2010,6/15/2010,F,1,0,1,0,1,0,1,0,1,2
35,6/11/2010,7/30/2010,F,1,0,0,1,1,0,1,0,1,1
44,6/13/2010,6/17/2010,F,1,0,1,0,1,0,1,0,1,2
36,6/13/2010,6/13/2010,U,1,0,1,0,0,1,1,0,1,1
5,6/14/2010,6/18/2010,U,1,0,1,0,0,1,1,0,0,0
26,6/14/2010,7/15/2010,U,1,0,1,0,0,1,1,0,0,1
37,6/14/2010,6/15/2010,F,1,0,1,0,0,1,1,0,1,1
26,6/15/2010,4/13/2011,F,1,0,1,0,1,0,1,0,1,1
18,6/15/2010,6/15/2010,U,1,0,0,0,1,0,1,0,0,0
30,6/15/2010,6/16/2010,F,1,0,1,0,1,0,1,0,1,1
55,6/16/2010,7/8/2010,F,1,0,1,0,1,0,1,0,0,3
34,6/16/2010,6/17/2010,U,1,0,1,0,1,0,1,0,0,1
30,6/17/2010,6/17/2010,M,1,0,0,1,0,1,1,0,1,2
25,6/17/2010,6/17/2010,M,1,0,1,0,1,0,1,0,1,1
32,6/17/2010,7/6/2010,M,1,0,0,1,1,0,1,0,1,1
5,6/19/2010,6/22/2010,M,1,0,1,0,0,1,1,0,0,0
30,6/20/2010,6/21/2010,M,1,0,0,0,1,0,1,0,1,1
39,6/22/2010,7/5/2010,M,1,0,1,0,0,1,1,0,1,3
52,6/22/2010,6/22/2010,U,1,0,1,0,1,0,1,0,1,2
29,6/23/2010,6/23/2010,M,1,0,0,1,1,0,1,0,0,1
47,6/23/2010,6/23/2010,F,1,0,1,0,0,1,1,0,1,3
49,6/23/2010,6/23/2010,F,1,0,1,0,0,1,1,0,1,2
38,6/23/2010,7/31/2010,F,1,0,1,0,0,1,1,0,1,1
35,6/23/2010,6/25/2010,F,1,0,1,0,0,1,1,0,1,3
30,6/23/2010,6/24/2010,F,1,0,1,0,1,0,1,0,1,3
34,6/24/2010,6/25/2010,F,1,0,0,1,1,0,1,0,1,1
47,4/20/2012,5/18/2011,F,1,0,1,0,0,1,1,0,1,1
37,6/25/2010,9/22/2010,U,1,0,1,0,1,0,1,0,0,3
65,6/25/2010,6/25/2010,M,1,0,1,0,1,0,1,0,1,2
37,6/25/2010,6/25/2010,U,1,0,1,0,1,0,1,0,1,3
49,6/25/2010,6/27/2010,F,1,0,0,1,1,0,1,0,1,1
32,6/25/2010,6/29/2010,U,1,0,1,0,1,0,1,0,1,3
26,6/25/2010,6/26/2010,U,1,0,0,1,0,1,1,0,0,1
37,6/25/2010,6/29/2010,F,1,0,0,1,1,0,1,0,1,3
40,6/26/2010,6/27/2010,F,1,0,1,0,1,0,1,0,0,1
67,6/27/2010,6/27/2010,U,1,0,0,1,1,0,1,0,1,1
33,6/28/2010,6/28/2010,M,1,0,1,0,1,0,1,0,1,2
50,6/28/2010,6/29/2010,F,1,0,1,0,1,0,1,0,0,3
5,6/28/2010,6/28/2010,F,1,0,1,0,0,1,1,0,0,0
38,6/28/2010,7/6/2010,M,1,0,0,0,1,0,1,0,1,2
29,6/29/2010,7/1/2010,U,1,0,1,0,1,0,1,0,0,1
35,5/3/2011,6/29/2010,U,1,0,1,0,1,0,1,0,1,1
34,6/29/2010,8/21/2010,M,1,0,1,0,1,0,1,0,1,3
32,6/29/2010,6/30/2010,F,1,0,1,0,1,0,1,0,1,1
27,6/30/2010,7/7/2010,U,1,0,1,0,1,0,1,0,1,3
75,6/30/2010,7/19/2010,M,1,0,1,0,1,0,1,0,1,1
34,6/30/2010,7/2/2010,M,1,0,1,0,1,0,1,0,1,1
67,7/1/2010,7/1/2010,F,1,0,1,0,1,0,1,0,1,1
33,7/1/2010,7/2/2010,F,1,0,0,1,1,0,1,0,0,2
28,7/1/2010,9/5/2010,F,1,0,1,0,1,0,1,0,1,1
53,7/2/2010,7/2/2010,F,1,0,0,1,0,1,1,0,1,2
29,7/2/2010,7/6/2010,M,1,0,1,0,1,0,1,0,1,1
35,7/2/2010,7/6/2010,M,1,0,1,0,1,0,1,0,1,1
67,7/2/2010,7/2/2010,M,1,0,1,0,1,0,1,0,0,1
28,7/2/2010,7/2/2010,F,1,0,1,0,1,0,1,0,1,1
36,7/5/2010,5/27/2011,F,0,0,1,0,1,0,1,0,1,1
35,7/5/2010,7/5/2010,F,1,0,1,0,1,0,1,0,0,3
34,7/5/2010,7/8/2010,U,1,0,0,0,1,0,1,0,0,3
32,7/6/2010,7/22/2010,F,1,0,0,1,1,0,1,0,0,3
39,7/6/2010,7/9/2010,F,1,0,1,0,0,1,1,0,1,1
29,7/7/2010,7/7/2010,F,1,0,1,0,1,0,1,0,1,1
38,7/7/2010,7/7/2010,F,1,0,1,0,1,0,1,0,1,1
26,7/7/2010,7/10/2010,F,1,0,1,0,1,0,1,0,1,3
44,7/7/2010,7/27/2010,U,1,0,1,0,1,0,1,0,1,1
43,7/8/2010,7/8/2010,F,1,0,1,0,1,0,1,0,1,1
30,7/8/2010,10/29/2010,F,1,0,1,0,0,1,1,0,1,1
33,7/8/2010,8/10/2010,F,1,0,0,1,0,1,1,0,1,3
28,7/8/2010,7/8/2010,U,1,0,1,0,1,0,1,0,0,1
34,7/10/2010,7/11/2010,F,1,0,1,0,1,0,1,0,0,1
27,7/10/2010,7/14/2010,F,1,0,1,0,0,1,1,0,1,1
65,7/10/2010,7/11/2010,U,1,0,0,1,1,0,1,0,1,3
60,7/11/2010,7/28/2010,U,1,0,1,0,1,0,1,0,0,1
38,7/12/2010,7/12/2010,F,1,0,1,0,0,1,1,0,1,1
32,7/13/2010,7/15/2010,M,1,0,0,1,0,1,1,0,1,1
30,7/13/2010,7/13/2010,U,1,0,1,0,0,1,1,0,1,3
32,7/14/2010,8/6/2010,F,1,0,1,0,1,0,1,0,1,1
59,7/14/2010,7/14/2010,F,1,0,1,0,1,0,1,0,1,3
2014,7/14/2010,7/15/2010,M,1,0,1,0,0,1,1,0,1,1
33,7/15/2010,7/16/2010,U,1,0,1,0,1,0,1,0,1,2
31,7/15/2010,7/22/2010,F,1,0,1,0,0,1,1,0,1,1
42,7/15/2010,7/16/2010,M,1,0,1,0,0,1,1,0,1,1
79,7/15/2010,8/16/2010,M,1,0,1,0,1,0,1,0,0,3
